,overall,quality,repeatability
count,2652.0,2652.0,2652.0
mean,3.05,3.21,1.49
std,0.76,0.8,0.6
min,1.0,1.0,1.0
25%,3.0,3.0,1.0
50%,3.0,3.0,1.0
75%,3.0,4.0,2.0
max,5.0,5.0,3.0
